"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Digital Archive Management","TX","Business Associate","189489","05/07/2013","Improper Disposal","Paper/Films","Yes","\N"
"Seattle - King County Department of Public Health","WA","Healthcare Provider","750","05/07/2013","Improper Disposal","Paper/Films","No","\N"
"Regional Medical Center","TN","Healthcare Provider","1180","05/07/2013","Unauthorized Access/Disclosure","Email","No","\N"
"E-dreamz, Inc.","NC","Business Associate","9988","05/08/2013","Hacking/IT Incident","Network Server","Yes","\N"
"North Atlantic Telecom, Inc.","TN","Business Associate","539","05/08/2013","Other","Desktop Computer","Yes","\N"
"E-dreamz, Inc.","NC","Business Associate","1924","05/10/2013","Hacking/IT Incident","Network Server","Yes","\N"
"Indiana University Health Arnett","IN","Healthcare Provider","10350","05/13/2013","Theft","Laptop","No","\N"
"Dent Neurologic Group, LLP","NY","Healthcare Provider","10000","05/14/2013","Other","Email","No","\N"
"City of Norwood","OH","Healthcare Provider","9577","05/20/2013","Loss","Laptop","No","\N"
"Lutheran Social Services of South Central Pennsylvania","PA","Healthcare Provider","7803","05/20/2013","Hacking/IT Incident","Network Server","No","This case involved a hacking incident on the covered entity’s (CE) network server.  A Trojan virus was discovered running under an administrative account on a remote access server.  No data loss was actually discovered, but potentially 7,300 records may have been vulnerable.  The types of protected health information (PHI) potentially breached included demographic, financial, and clinical information.  The CE engaged a forensic consulting team to verify the scope and impact of the malware and to clean the system.  The CE  installed more effective virus detection software, trained and educated users regarding data security, and made adjustments to data storage policies.  OCR confirmed that the CE took all appropriate corrective action."
"Just the Connection Inc","IN","Business Associate","5388","05/20/2013","Improper Disposal","Other","Yes","\N"
"Erskine Family Dentistry","IN","Healthcare Provider","2723","05/21/2013","Hacking/IT Incident","Desktop Computer","No","\N"
"Health Resources of Arkansas","AR","Healthcare Provider","1900","05/23/2013","Theft, Unauthorized Access/Disclosure","Other","No","\N"
"SynerMed / Inland Valleys IPA","CA","Business Associate","3164","05/24/2013","Theft","Laptop","Yes","On April 14, 2013, a SynerMed employee’s laptop computer was stolen out of her vehicle while parked in front of her home. The laptop contained the protected health information (PHI) of 3,164 individuals, and included patients’ names, member identification, dates of service, reasons for visits, and procedure codes. The laptop was password protected, but was not encrypted.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media, and posted substitute notice on its website.  In response to this incident, the CE improved physical security, encrypted all computers, counseled the employee involved, and trained staff.  It also reviewed its policies and implemented an encryption policy.  OCR obtained assurances that the CE implemented the corrective actions listed above."
"Independence Care System","NY","Health Plan","2434","05/24/2013","Theft","Laptop","No","\N"
"Sonoma Valley Hospital","CA","Healthcare Provider","1386","05/24/2013","Other","Other","No","\N"
"Bon Secours Mary Immaculate Hospital","VA","Healthcare Provider","5764","05/29/2013","Theft","Electronic Medical Record","No","The covered entity (CE), Bon Secours Health System, discovered that two Certified Nursing Assistants (CNAs) impermissibly electronically accessed the medical records of approximately 5,764 patients during the prior 12 months.  The protected health information (PHI) contained in the breach included patients' names, social security numbers, dates of birth, addresses, clinical information, and other identifiers.  The CE provided breach notification to HHS, affected individuals and the media.   Following the breach, the CE conducted a full investigation, sanctioned the two CNAs, revoked their access to the electronic medical record system and subsequently terminated both employees for their actions.  Following the CE's reports to law enforcement and the state department of health professions, the two former employees plead guilty to Federal misdemeanor charges and had their professional certifications revoked.  OCR reviewed the CE's most recent risk assessment and confirmed that all identified risks are to be addressed by December 2014 according to the CE's Risk Management Plan.  As a result of OCR's investigation, the CE pursued prosecution of the CNAs and provided credit monitoring services to the affected individuals.
\
\"
"University of Florida","FL","Healthcare Provider","5875","05/30/2013","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"Community Support Services, Inc.","OH","Healthcare Provider","1167","06/03/2013","Theft","Email","No","\N"
"UMASSAmherst","MA","Healthcare Provider","1670","06/05/2013","Hacking/IT Incident","Desktop Computer","No","\N"
"Palm Beach County Health Department","FL","Healthcare Provider","877","06/11/2013","Unauthorized Access/Disclosure","Desktop Computer","No","\N"
"Lucile Packard Children's Hospital","CA","Healthcare Provider","12900","06/13/2013","Theft","Laptop","No","\N"
"Fayetteville VAMC","NC","Healthcare Provider","1093","06/14/2013","Theft","Paper/Films","No","The covered entity (CE), Fayetteville VA Medical Clinic Optical Shop, impermissibly disclosed the protected health information (PHI) of approximately 1,094 individuals by placing consultation reports in the recycling bin rather than the shredding bin.  The PHI involved in the breach included patients' names, social security numbers, birthdates, addresses, and phone numbers.  The CE provided breach notification to all patients seen in the facility since the origination of the breach, HHS, and the media.  The CE conducted an investigation and removed documents containing PHI from the recycle bin and shredded them according to the CE's procedure.  
\
\The CE provided evidence that it provided additional training regarding security of PHI and disposal methods for documents that contained PHI for Optical Shop workforce members.  In addition, the CE improved safeguards by placing a document shredder on-site.   The responsible staff member was sanctioned according to the CE policy.  OCR obtained assurances that the corrective actions listed above were completed.
\"
"Lincoln County Health and Human Services/Lincoln Community Health Center","OR","Healthcare Provider","959","06/14/2013","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Union Security Insurance Company","MO","Health Plan","1127","06/17/2013","Improper Disposal","Email","No","\N"
"Gulf Breeze Family Eyecare, Inc","FL","Healthcare Provider","9626","06/17/2013","Theft, Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Network Server, Paper/Films","No","\N"
"Jacksonville Spine Center","FL","Healthcare Provider","5200","06/24/2013","Theft","Paper/Films","No","The covered entity (CE), Jacksonville Spine Center, impermissibly disclosed the protected health information (PHI) of approximately 5,200 individuals when a workforce member misaddressed some envelopes due to a spreadsheet error.  The mailing resulted in some individuals receiving correspondence with another patient's name on the envelope.  The only PHI involved in the breach was patients' names.   The CE provided breach notification to HHS, the media and affected individuals.  The notice to individuals requested that patients either return the envelope to the CE or destroy the envelope.  As a result of this incident, the CE issued a written warning to the responsible workforce member pursuant to the CE's sanction policy. Moreover, the CE implemented additional safeguards including the checking of data file integrity prior to sending mailings. OCR obtained assurances that the CE implemented the corrective action listed above."
"Iowa Department of Human Services","IA","Healthcare Provider","7335","06/26/2013","Loss, Unknown","Other","No","\N"
"James A. Fosnaugh","NE","Healthcare Provider","2125","06/26/2013","Loss","Other Portable Electronic Device","No","\N"
"Lone Star Circle of Care","TX","Healthcare Provider","1955","06/28/2013","Theft","Laptop","No","\N"
"Alberto Gerardo Vazquez Rivera","PR","Business Associate","679","06/28/2013","Theft","Laptop","Yes","An encrypted laptop computer was stolen from an AFLAC associate's vehicle in Puerto Rico.  The laptop contained PHI of approximately 679 individuals and contained demographic, financial and clinical information, including patient names, addresses, birthdates, social security numbers, claims information, and diagnoses.  The covered entity filed a police report and provided breach notification to all affected individuals, HHS, and the media.  The responsible workforce member was sanctioned.  OCR acknowledges that the incident does not constitute a reportable breach under the Breach Notification Rule because the laptop was sufficiently encrypted."
